PSA_Grade,Image_URL
10,https://i.ebayimg.com/images/g/X3MAAeSweR9pdWa7/s-l225.jpg
10,https://i.ebayimg.com/images/g/XT0AAeSwvcFpdYvh/s-l225.jpg
6,https://i.ebayimg.com/images/g/qGUAAeSwD3ZpdXkl/s-l225.jpg
10,https://i.ebayimg.com/images/g/2LgAAeSwcVxpdZvH/s-l225.jpg
10,https://i.ebayimg.com/images/g/HswAAeSw4ulo0cf-/s-l225.jpg
9,https://i.ebayimg.com/images/g/fagAAeSwo-Zo-8Ky/s-l225.jpg
10,https://i.ebayimg.com/images/g/u7kAAeSwXVZpdXZi/s-l225.jpg
10,https://i.ebayimg.com/images/g/uBcAAeSwudVpdXIV/s-l225.jpg
10,https://i.ebayimg.com/images/g/~woAAeSwXNZpWo3j/s-l225.jpg
6,https://i.ebayimg.com/images/g/Yo0AAeSwnBxpdWZ7/s-l225.jpg
10,https://i.ebayimg.com/images/g/AgIAAeSwy6lpSiy3/s-l225.jpg
10,https://i.ebayimg.com/images/g/9L0AAeSwKWppaVUW/s-l225.jpg
8,https://i.ebayimg.com/images/g/uh0AAeSwtI9pdWBI/s-l225.jpg
9,https://i.ebayimg.com/images/g/diIAAeSwj9dpdZhe/s-l225.jpg
10,https://i.ebayimg.com/images/g/~ZkAAeSwSB5pdYMJ/s-l225.jpg
9,https://i.ebayimg.com/images/g/JCoAAOSwHxJkd6nk/s-l225.jpg
10,https://i.ebayimg.com/images/g/zMIAAeSwKGlpdYOr/s-l225.jpg
8,https://i.ebayimg.com/images/g/7t8AAeSw~gBpdW0p/s-l225.jpg
10,https://i.ebayimg.com/images/g/BW8AAeSwQqRpaVbP/s-l225.jpg
6,https://i.ebayimg.com/images/g/95sAAeSwTFhpdXM7/s-l225.jpg
10,https://i.ebayimg.com/images/g/UoUAAeSwAUhpdZdf/s-l225.jpg
6,https://i.ebayimg.com/images/g/O1UAAeSwy3JpdWnl/s-l225.jpg
10,https://i.ebayimg.com/images/g/WiwAAeSwwwtpdWd4/s-l225.jpg
8,https://i.ebayimg.com/images/g/2p4AAeSwGMVpABcI/s-l225.jpg
8,https://i.ebayimg.com/images/g/ZBkAAeSwI59pdZMS/s-l225.jpg
8,https://i.ebayimg.com/images/g/I0kAAeSw7AZpXbt5/s-l225.jpg
10,https://i.ebayimg.com/images/g/YJYAAeSwRFZpdZHK/s-l225.jpg
10,https://i.ebayimg.com/images/g/0hoAAeSw5Gpo0kAm/s-l225.jpg
8,https://i.ebayimg.com/images/g/4OsAAeSwtI9pdWzR/s-l225.jpg
10,https://i.ebayimg.com/images/g/-XsAAeSwaP1pdYvl/s-l225.jpg
9,https://i.ebayimg.com/images/g/6I8AAOSwNU9mY3~B/s-l225.jpg
10,https://i.ebayimg.com/images/g/dhQAAeSwlv9pdZQJ/s-l225.jpg
10,https://i.ebayimg.com/images/g/X2YAAeSwAwBpdYyV/s-l225.jpg
10,https://i.ebayimg.com/images/g/mb8AAeSw7vxpbt1L/s-l225.jpg
9,https://i.ebayimg.com/images/g/8S0AAeSw1ytpdZzT/s-l225.jpg
9,https://i.ebayimg.com/images/g/dyYAAeSwUZtpdYHV/s-l225.jpg
10,https://i.ebayimg.com/images/g/2UEAAeSw431pdX~h/s-l225.jpg
10,https://i.ebayimg.com/images/g/lPQAAeSwx1FpVZig/s-l225.jpg
9,https://i.ebayimg.com/images/g/RdAAAeSw2E9pdYly/s-l225.jpg
10,https://i.ebayimg.com/images/g/P0AAAeSw7clpdYam/s-l225.jpg
9,https://i.ebayimg.com/images/g/spgAAeSwBRppdQQ8/s-l225.jpg
10,https://i.ebayimg.com/images/g/re8AAeSwlyJpMTI1/s-l225.jpg
10,https://i.ebayimg.com/images/g/-N0AAeSwH1BpdZ3Y/s-l225.jpg
10,https://i.ebayimg.com/images/g/jL4AAeSwaZFpdZ3y/s-l225.jpg
7,https://i.ebayimg.com/images/g/t-0AAeSw0l9pdXOG/s-l225.jpg
10,https://i.ebayimg.com/images/g/MFgAAeSw40JpdYDz/s-l225.jpg
9,https://i.ebayimg.com/images/g/aB0AAeSwdwxpdUKT/s-l225.jpg
8,https://i.ebayimg.com/images/g/kQsAAeSwlu9pcDTU/s-l225.jpg
9,https://i.ebayimg.com/images/g/agoAAeSwbQhpdZMO/s-l225.jpg
10,https://i.ebayimg.com/images/g/6lEAAOSwm4VnR8BX/s-l225.jpg
9,https://i.ebayimg.com/images/g/kEcAAeSw2yFo6YfD/s-l225.jpg
